"Name","State","entropy_tuning","puck_closeness_reward_multiplier","puck_not_touched_yet_reward","tau","Notes","User","Tags","Created","Runtime","Sweep","alpha","batch_size","capacity","continue_training","draw_reward","gamma","lose_reward","lr","lr_alpha","lr_policy","model_dim","only_self_play","render","save_every","save_folder","training_episodes","training_number","update_target_every","win_reward","Reward","outcomes/self_draws","outcomes/self_losses","outcomes/self_wins","outcomes/strong_draws","outcomes/strong_losses","outcomes/strong_wins","outcomes/weak_draws","outcomes/weak_losses","outcomes/weak_wins","policy_loss","q1_loss","q2_loss","self/draws","self/losses","self/wins","strong/draws","strong/losses","strong/wins","weak/draws","weak/losses","weak/wins"
"2025-02-19_19-02-11","finished","adaptive","1","0","1","-","","","2025-02-19T18:02:12.000Z","80575","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-02-11","10000","2","1000","10","9.083777813125762","7","9","34","1","3","46","0","1","49","1.429995951129169","0.9368240055514544","0.9496944234138582","","","","","","","","",""
"2025-02-19_19-02-08","finished","adaptive","1","0","1","-","","","2025-02-19T18:02:08.000Z","77763","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-02-08","10000","2","1000","10","9.55099310734986","5","12","33","2","5","43","1","0","49","1.659188638715183","1.014655921389075","0.9436279482701244","","","","","","","","",""
"2025-02-19_19-02-01","finished","fixed","1","0","1","-","","","2025-02-19T18:02:02.000Z","107745","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-02-01","10000","2","1000","10","-40.55189411014152","46","4","0","26","19","5","32","16","2","-726.3900863829837","62944.35053535856","62808.77856931648","","","","","","","","",""
"2025-02-19_19-01-57","finished","fixed","1","0","1","-","","","2025-02-19T18:01:57.000Z","103273","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-01-57","10000","2","1000","10","-32.744012610925694","27","14","9","29","14","7","31","17","2","-63.62715854872745","456.79593090042175","459.48403353140174","","","","","","","","",""
"2025-02-19_19-01-48","finished","adaptive","5","0","1","-","","","2025-02-19T18:01:48.000Z","72118","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-01-48","10000","2","1000","10","7.216446924159398","3","11","36","1","12","37","1","4","45","4.355411079194811","3.297359632121192","3.2900083826647863","","","","","","","","",""
"2025-02-19_19-01-43","finished","fixed","5","0","1","-","","","2025-02-19T18:01:45.000Z","76175","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_19-01-43","10000","2","1000","10","-3.1422328089297356","1","11","38","4","11","35","1","2","47","4.651945931836963","1.783117218874395","1.7268652422353623","","","","","","","","",""
"2025-02-19_01-07-44","finished","fixed","5","0","1","-","","","2025-02-19T00:07:47.000Z","61582","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-19_01-07-44","10000","2","1000","10","8.390229240543604","3","11","36","2","6","42","0","1","49","-1.1407254903480923","0.8144265803797491","0.8454041604338021","","","","","","","","",""
"2025-02-18_23-53-26","finished","adaptive","5","0","1","-","","","2025-02-18T22:53:28.000Z","68663","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-18_23-53-26","10000","2","1000","10","7.179755166241433","3","11","36","1","6","43","2","0","48","4.632362790902456","1.6708281616369882","1.701598068078359","","","","","","","","",""
"2025-02-18_23-51-47","finished","adaptive","5","-0.1","1","-","","","2025-02-18T22:51:45.000Z","66968","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-18_23-51-47","10000","2","1000","10","7.468246185463077","1","11","38","1","5","44","0","1","49","1.3169358677980376","1.1420659829930562","1.1840376563188506","","","","","","","","",""
"2025-02-18_23-51-39","finished","adaptive","5","-0.1","1","-","","","2025-02-18T22:51:37.000Z","65783","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-18_23-51-39","10000","2","1000","10","8.29335483901779","2","11","37","4","1","45","0","1","49","3.684952865947377","1.592949148380395","1.576540889162006","","","","","","","","",""
